Timestamp,Name,DURATION,Genre,Acousticness,Loudness,Liveness,Instrumentality,Energy,Target,Tempo,Rating
9/17/2020 22:03,Oniket Prantor,LONG,rock,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,1,MEDIUM,5
9/17/2020 23:03,Chokh,MEDIUM,jazz,HIGH,HIGH,HIGH,HIGH,MEDIUM,1,MEDIUM,5
9/17/2020 23:04,Shathi,MEDIUM,pop,MEDIUM,LOW,MEDIUM,MEDIUM,MEDIUM,1,HIGH,5
9/17/2020 23:07,Nam na jana pakhi,SHORT,jazz,HIGH,MEDIUM,HIGH,MEDIUM,MEDIUM,1,HIGH,4
9/17/2020 23:07,Premi,SHORT,pop,HIGH,MEDIUM,LOW,HIGH,LOW,1,MEDIUM,4
9/17/2020 23:08,O je mane na mana,SHORT,rnb,HIGH,MEDIUM,LOW,LOW,HIGH,0,MEDIUM,3
9/17/2020 23:09,Tomake Chuye Dilam,MEDIUM,rock,HIGH,LOW,LOW,LOW,HIGH,0,MEDIUM,4
9/17/2020 23:10,Majhe Majhe Tobu,SHORT,folk,HIGH,LOW,HIGH,LOW,MEDIUM,0,MEDIUM,5
9/17/2020 23:11,Amay Bhashaili Re,SHORT,rnb,LOW,LOW,HIGH,MEDIUM,HIGH,0,MEDIUM,3
9/17/2020 23:13,Mon Mane Na,MEDIUM,rock,HIGH,HIGH,HIGH,MEDIUM,HIGH,1,MEDIUM,5
9/17/2020 23:21,E Mon Aj,LONG,pop,HIGH,MEDIUM,HIGH,MEDIUM,LOW,0,HIGH,4
9/17/2020 23:27,Aj Ai Din Take,MEDIUM,pop,MEDIUM,LOW,LOW,HIGH,MEDIUM,0,MEDIUM,5
9/17/2020 23:27,Purano Shei Diner kotha,SHORT,rock,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,1,LOW,5
9/17/2020 23:28,Se Jeno Amar Pashe,LONG,pop,LOW,LOW,MEDIUM,MEDIUM,HIGH,0,HIGH,4
9/17/2020 23:29,Ami Chini Go Chini Tomare,LONG,rock,LOW,HIGH,MEDIUM,HIGH,MEDIUM,0,MEDIUM,3
9/17/2020 23:30,Hashimukh,MEDIUM,jazz,MEDIUM,LOW,MEDIUM,MEDIUM,LOW,1,MEDIUM,4
9/17/2020 23:30,Ai Rat Tomar Amar,LONG,pop,MEDIUM,HIGH,HIGH,MEDIUM,HIGH,1,HIGH,5
9/17/2020 23:30,Pagla Hawar Badol Dine,MEDIUM,rock,HIGH,MEDIUM,MEDIUM,MEDIUM,MEDIUM,1,MEDIUM,5
9/17/2020 23:30,Abar hashimukh,MEDIUM,jazz,HIGH,MEDIUM,MEDIUM,MEDIUM,LOW,1,MEDIUM,5
9/17/2020 23:31,Debi,MEDIUM,pop,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,0,LOW,4
9/17/2020 23:32,Neshar bojha,MEDIUM,pop,MEDIUM,MEDIUM,HIGH,MEDIUM,MEDIUM,1,MEDIUM,5
9/17/2020 23:32,Ai Poth Jodi Na Sesh Hoy,MEDIUM,rock,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,1,MEDIUM,5
9/17/2020 23:33,Tamak pata,MEDIUM,jazz,LOW,MEDIUM,MEDIUM,MEDIUM,LOW,0,MEDIUM,5
9/17/2020 23:33,Coffee Houser Shei Addata,LONG,rock,MEDIUM,HIGH,HIGH,HIGH,MEDIUM,1,MEDIUM,5
9/17/2020 23:36,Bojhena She Bojhena,LONG,rock,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,1,HIGH,5
9/17/2020 23:36,Na re Na,SHORT,jazz,MEDIUM,MEDIUM,MEDIUM,LOW,LOW,0,HIGH,2
9/17/2020 23:37,Boro Eka Eka Lage Amar,LONG,jazz,MEDIUM,HIGH,HIGH,MEDIUM,LOW,0,LOW,5
9/17/2020 23:37,Saat Pake Badha,SHORT,rock,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,0,MEDIUM,5
9/17/2020 23:38,She chilo Boroi Anmona,SHORT,rock,MEDIUM,HIGH,HIGH,MEDIUM,MEDIUM,0,MEDIUM,5
9/17/2020 23:38,Tomar jonno,MEDIUM,jazz,MEDIUM,MEDIUM,MEDIUM,LOW,MEDIUM,1,MEDIUM,5
9/17/2020 23:38,Golmal,MEDIUM,folk,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,0,MEDIUM,4
9/17/2020 23:38,Hik kolorob,MEDIUM,jazz,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,1,MEDIUM,4
9/17/2020 23:39,Maya,SHORT,jazz,MEDIUM,HIGH,MEDIUM,MEDIUM,LOW,0,MEDIUM,5
9/17/2020 23:39,Se je boshe ache,MEDIUM,jazz,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,1,MEDIUM,5
9/17/2020 23:39,100 Percent Love,MEDIUM,rock,HIGH,MEDIUM,MEDIUM,HIGH,HIGH,0,MEDIUM,5
9/17/2020 23:40,Shonar Moyna Pakhi,LONG,folk,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,1,MEDIUM,4
9/17/2020 23:40,O ki Garial Bhai,MEDIUM,folk,HIGH,LOW,LOW,HIGH,MEDIUM,0,MEDIUM,4
9/17/2020 23:41,Jiboner Golpo,MEDIUM,rnb,HIGH,MEDIUM,MEDIUM,MEDIUM,HIGH,0,HIGH,5
9/17/2020 23:44,Neshar bojha ,MEDIUM,pop,MEDIUM,MEDIUM,HIGH,MEDIUM,HIGH,1,MEDIUM,5
9/18/2020 0:09,Nilanjona,MEDIUM,pop,MEDIUM,MEDIUM,HIGH,HIGH,MEDIUM,0,MEDIUM,3
9/18/2020 0:10,Bedona,MEDIUM,rnb,HIGH,LOW,LOW,MEDIUM,LOW,0,LOW,5
9/18/2020 0:10,Phire Elam Dhure Giye,LONG,rnb,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,1,MEDIUM,5
9/18/2020 0:12,Shei Rat Chilo Purnima,SHORT,jazz,MEDIUM,MEDIUM,HIGH,HIGH,HIGH,0,HIGH,2
9/18/2020 0:12,Mone Pore Rubi Roy,MEDIUM,rnb,HIGH,HIGH,MEDIUM,MEDIUM,LOW,1,LOW,3
9/18/2020 0:14,Cholo Bodle Jai,MEDIUM,rock,HIGH,HIGH,MEDIUM,MEDIUM,HIGH,0,MEDIUM,5
9/18/2020 0:14,Obosh Onuvutir Deyal | ARTCELL,SHORT,jazz,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,1,MEDIUM,4
9/18/2020 0:14,Ek Akasher Tara,MEDIUM,jazz,MEDIUM,HIGH,LOW,HIGH,MEDIUM,0,HIGH,2
9/18/2020 0:15,  Koshto,MEDIUM,pop,MEDIUM,HIGH,MEDIUM,MEDIUM,MEDIUM,1,MEDIUM,5
9/18/2020 0:15,Koshto Pata Valobashi,LONG,rock,LOW,LOW,MEDIUM,HIGH,MEDIUM,0,MEDIUM,5
9/18/2020 0:16,Shei Tumi,LONG,rock,MEDIUM,HIGH,MEDIUM,LOW,HIGH,1,LOW,5
9/18/2020 0:16,Oniket Prantor,LONG,rock,HIGH,HIGH,HIGH,HIGH,HIGH,1,HIGH,5
9/18/2020 0:16,Natok,MEDIUM,rnb,MEDIUM,HIGH,MEDIUM,LOW,MEDIUM,0,MEDIUM,3
9/18/2020 0:16,Karone,MEDIUM,jazz,MEDIUM,HIGH,MEDIUM,HIGH,MEDIUM,1,MEDIUM,4
9/18/2020 0:17,Ei mon tomake dilam,MEDIUM,rnb,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,1,MEDIUM,4
9/18/2020 0:17,Bangladesh | Shironamhin,SHORT,pop,LOW,MEDIUM,LOW,MEDIUM,MEDIUM,1,MEDIUM,5
9/18/2020 0:17,Hawker,LONG,folk,HIGH,MEDIUM,MEDIUM,HIGH,MEDIUM,0,HIGH,4
9/18/2020 0:17,Bodhuya,MEDIUM,jazz,MEDIUM,HIGH,MEDIUM,MEDIUM,HIGH,1,LOW,5
9/18/2020 0:17,Ekhono | Black,SHORT,pop,MEDIUM,LOW,MEDIUM,HIGH,MEDIUM,1,MEDIUM,5
9/18/2020 0:18,Rupali Guiter,MEDIUM,rnb,MEDIUM,HIGH,HIGH,MEDIUM,LOW,1,HIGH,5
9/18/2020 0:18,Baro Mash,SHORT,folk,MEDIUM,HIGH,LOW,LOW,MEDIUM,0,HIGH,3
9/18/2020 0:19,BEDHONA | SHUNNO,SHORT,pop,MEDIUM,LOW,MEDIUM,HIGH,LOW,1,MEDIUM,4
9/18/2020 0:19,Aynate oi mukh,SHORT,rnb,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,1,MEDIUM,4
9/18/2020 0:19,Ferari Mon,LONG,jazz,MEDIUM,HIGH,LOW,HIGH,MEDIUM,1,LOW,5
9/18/2020 0:20,Ural Debo Akashe,MEDIUM,pop,MEDIUM,HIGH,LOW,HIGH,HIGH,0,MEDIUM,3
9/18/2020 0:20, Cafeteria Periye,MEDIUM,jazz,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,1,HIGH,5
9/18/2020 0:20,Tomake Valobashe,LONG,folk,LOW,HIGH,HIGH,HIGH,LOW,1,MEDIUM,4
9/18/2020 0:20,Son re sujon ami boli j tore,MEDIUM,rnb,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,1,MEDIUM,4
9/18/2020 0:21, Tomar Jonno Nilche Tara,MEDIUM,pop,MEDIUM,LOW,HIGH,MEDIUM,LOW,1,MEDIUM,4
9/18/2020 0:21,Ondho,MEDIUM,folk,HIGH,HIGH,LOW,HIGH,MEDIUM,1,LOW,5
9/18/2020 0:21,Dari koma,MEDIUM,folk,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,1,MEDIUM,4
9/18/2020 0:22,MINAR | JHOOM ,MEDIUM,jazz,HIGH,MEDIUM,HIGH,HIGH,MEDIUM,1,HIGH,5
9/18/2020 0:22,Oporadhi,MEDIUM,folk,MEDIUM,MEDIUM,MEDIUM,MEDIUM,MEDIUM,1,MEDIUM,4
